"country","total_arrivals","arrivals_male","arrivals_female","longitude","latitude"
"RWA",297,168,129,30,-2
"SAU",151906,84070,67836,45,25
"SDN",30589,17806,12783,30,15
"SEN",1799,1285,514,-14,14
"SGP",34496707,19735426,14761281,103.8,1.3667
"SGS",7,5,2,-37,-54.5
"SHN",2,2,0,-5.7,-15.9333
"SLB",459,235,224,159,-8
"SLE",739,487,252,-11.5,8.5
"SLV",519,279,240,-88.9167,13.8333
"SMR",81,56,25,12.4167,43.7667
"SOM",7257,4475,2782,49,10
"SPM",1,0,1,-56.3333,46.8333
"SRB",2946,1620,1326,21,44
"SSD",972,639,333,30,8
"STP",48,31,17,7,1
"SUR",616,366,250,-56,4
"SVK",14033,7696,6337,19.5,48.6667
"SVN",5490,3019,2471,15,46
"SWE",53494,31335,22159,15,62
"SWZ",567,266,301,31.5,-26.5
"SYC",2595,1074,1521,55.6667,-4.5833
"SYR",20529,13097,7432,38,35
"TCA",3,0,3,-71.5833,21.75
"TCD",770,607,163,19,15
"TGO",262,208,54,1.1667,8
"THA",5647418,3285770,2361648,100,15
"TJK",3545,2474,1071,71,39
"TKL",2,2,0,-172,-9
"TKM",5375,2974,2401,60,40
"TLS",6745,3957,2788,125.5167,-8.55
"TON",424,206,218,-175,-20
"TTO",1158,668,490,-61,11
"TUN",18392,9460,8932,9,34
"TUR",50414,34652,15762,35,39
"TUV",14,7,7,178,-8
"TWN",639102,301859,337243,121,23.5
"TZA",5973,3087,2886,35,-6
"UGA",4255,1949,2306,32,1
"UKR",36714,18595,18119,32,49
"URY",2769,1284,1485,-56,-33
"USA",607643,355539,252104,-97,38
"UZB",36853,22413,14440,64,41
"VAT",34,32,2,12.45,41.9
"VCT",75,47,28,-183.6,39.75
"VEN",2871,1608,1263,-132,16
"VNM",878361,288305,590056,212,32
"VUT",2970,2394,576,167,-16
"WSM",113,52,61,-172.3333,-13.5833
"XXX",14334,8591,5743,NA,NA
"YEM",43725,30377,13348,48,15
"ZAF",45266,25596,19670,24,-29
"ZAR",23,11,12,15.266293,-4.441931
"ZMB",2169,1152,1017,30,-15
"ZWE",4687,2233,2454,30,-20
