"soe","month","month_num","year","total_arrivals","arrivals_male","arrivals_female"
"Sarawak","May","05","2020",454,432,22
"Sarawak","May","05","2021",899,878,21
"Sarawak","May","05","2022",16045,10649,5396
"Sarawak","May","05","2023",147533,84447,63086
"Sarawak","May","05","2024",207635,114235,93400
"Sarawak","November","11","2020",1025,963,62
"Sarawak","November","11","2021",811,764,47
"Sarawak","November","11","2022",98435,53936,44499
"Sarawak","November","11","2023",113059,62443,50616
"Sarawak","October","10","2020",642,562,80
"Sarawak","October","10","2021",570,546,24
"Sarawak","October","10","2022",95953,53122,42831
"Sarawak","October","10","2023",106667,59316,47351
"Sarawak","September","09","2020",848,754,94
"Sarawak","September","09","2021",674,652,22
"Sarawak","September","09","2022",90338,49614,40724
"Sarawak","September","09","2023",113165,62094,51071
"Selangor","April","04","2020",416,231,185
"Selangor","April","04","2021",9902,7215,2687
"Selangor","April","04","2022",121109,76340,44769
"Selangor","April","04","2023",549762,318485,231277
"Selangor","April","04","2024",728498,392344,336154
"Selangor","August","08","2020",5845,3899,1946
"Selangor","August","08","2021",6770,4677,2093
"Selangor","August","08","2022",385927,238039,147888
"Selangor","August","08","2023",782907,450015,332892
"Selangor","December","12","2020",4939,3647,1292
"Selangor","December","12","2021",45375,30454,14921
"Selangor","December","12","2022",521992,306365,215627
"Selangor","December","12","2023",792830,435062,357768
"Selangor","February","02","2020",551924,330947,220977
"Selangor","February","02","2021",6120,4659,1461
"Selangor","February","02","2022",38753,27675,11078
"Selangor","February","02","2023",495852,313058,182794
"Selangor","February","02","2024",804850,430744,374106
"Selangor","January","01","2020",817095,448654,368441
"Selangor","January","01","2021",6179,4663,1516
"Selangor","January","01","2022",42628,28890,13738
"Selangor","January","01","2023",528858,309683,219175
"Selangor","January","01","2024",825945,452257,373688
"Selangor","July","07","2020",5608,3905,1703
"Selangor","July","07","2021",5528,3946,1582
"Selangor","July","07","2022",331379,197924,133455
"Selangor","July","07","2023",790911,442236,348675
"Selangor","June","06","2020",1238,835,403
"Selangor","June","06","2021",4170,3174,996
"Selangor","June","06","2022",254120,156399,97721
"Selangor","June","06","2023",449001,270555,178446
"Selangor","June","06","2024",853615,445853,407762
"Selangor","March","03","2020",214336,133427,80909
"Selangor","March","03","2021",10026,7211,2815
"Selangor","March","03","2022",51030,35766,15264
"Selangor","March","03","2023",568760,351170,217590
"Selangor","March","03","2024",725189,397969,327220
"Selangor","May","05","2020",617,423,194
"Selangor","May","05","2021",6865,5134,1731
"Selangor","May","05","2022",212367,129850,82517
"Selangor","May","05","2023",597519,355223,242296
"Selangor","May","05","2024",819542,478907,340635
"Selangor","November","11","2020",5407,4101,1306
"Selangor","November","11","2021",14754,10506,4248
"Selangor","November","11","2022",467311,291966,175345
"Selangor","November","11","2023",649129,374771,274358
"Selangor","October","10","2020",5777,4295,1482
