soe,soe_latitude,soe_longitude
Johor,1.922581,103.4114
Kedah,5.954218,100.714327
Kelantan,5.060771,102.0594
Melaka,2.306839,102.3566
Negeri Sembilan,2.826793,102.249487
Pahang,4.076981,102.549911
Perak,4.713235,100.998192
Perlis,6.528438,100.24337
Pulau Pinang,5.419481,100.381885
Sabah,5.321874,115.214806
Sarawak,2.495247,110.536555
Selangor,3.421418,101.5183
Terengganu,5.170658,103.049157
W.P. Labuan,5.299798,112.414806
