"country","total_arrivals","arrivals_male","arrivals_female","longitude","latitude","country_name"
"LSO",174,78,96,28.5,-29.5,"Lesotho"
"LTU",14268,7023,7245,24,56,"Lithuania"
"LUX",1870,1118,752,6.1667,49.75,"Luxembourg"
"LVA",6777,3325,3452,25,57,"Latvia"
"MAC",132,63,69,113.55,22.1667,"Macau"
"MAR",28552,15016,13536,-5,32,"Morocco"
"MCO",103,59,44,7.4,43.7333,"Monaco"
"MDA",1083,547,536,29,47,"Moldova"
"MDG",2161,936,1225,47,-20,"Madagascar"
"MDV",80329,41887,38442,73,3.25,"Maldives"
"MEX",22342,11478,10864,-102,23,"Mexico"
"MHL",111,82,29,168,9,"Marshall Islands"
"MKD",1332,724,608,22,41.8333,"North Macedonia"
"MLI",331,256,75,-4,17,"Mali"
"MLT",1829,1125,704,14.5833,35.8333,"Malta"
"MMR",360931,191030,169901,196,44,"Myanmar"
"MNE",564,459,105,19,42,"Montenegro"
"MNG",16414,6896,9518,105,46,"Mongolia"
"MNP",3,2,1,145.75,15.2,"Northern Mariana Islands"
"MOZ",956,510,446,35,-18.25,"Mozambique"
"MRT",744,604,140,-12,20,"Mauritania"
"MUS",41679,21214,20465,57.55,-20.2833,"Mauritius"
"MWI",662,369,293,34,-13.5,"Malawi"
"MYT",2,0,2,45.1667,-12.8333,NA
"NAM",616,296,320,17,-22,"Namibia"
"NCL",2,2,0,165.5,-21.5,"New Caledonia"
"NER",90,60,30,8,16,"Niger"
"NGA",15552,12450,3102,8,10,"Nigeria"
"NIC",243,123,120,-85,13,"Nicaragua"
"NLD",174610,103829,70781,5.75,52.5,"Netherlands"
"NOR",30007,17909,12098,10,62,"Norway"
"NPL",449691,423456,26235,84,28,"Nepal"
"NRU",102,69,33,166.9167,-0.5333,"Nauru"
"NZL",113255,66803,46452,174,-41,"New Zealand"
"OMN",39478,22830,16648,57,21,"Oman"
"PAK",355369,301501,53868,70,30,"Pakistan"
"PAN",947,460,487,-80,9,"Panama"
"PER",4860,2529,2331,-76,-10,"Peru"
"PHL",1147669,417373,730296,122,13,"Philippines"
"PLW",57,42,15,134.5,7.5,"Palau"
"PNG",2519,1446,1073,147,-6,"Papua New Guinea"
"POL",61737,32725,29012,20,52,"Poland"
"PRI",1,0,1,-66.5,18.25,"Puerto Rico"
"PRK",9,8,1,127,40,"North Korea"
"PRT",27939,15935,12004,-8,39.5,"Portugal"
"PRY",463,247,216,-58,-23,"Paraguay"
"PSE",10249,7219,3030,35.25,32,"Palestine"
"QAT",5388,3249,2139,51.25,25.5,"Qatar"
"REU",2,1,1,55.6,-21.1,"Reunion"
"ROU",25980,13884,12096,25,46,"Romania"
"RUS",281242,142179,139063,200,120,"Russia"
"RWA",297,168,129,30,-2,"Rwanda"
"SAU",151906,84070,67836,45,25,"Saudi Arabia"
"SDN",30589,17806,12783,30,15,"Sudan"
"SEN",1799,1285,514,-14,14,"Senegal"
"SGP",34496707,19735426,14761281,103.8,1.3667,"Singapore"
"SGS",7,5,2,-37,-54.5,"South Georgia and the South Sandwich Islands"
"SHN",2,2,0,-5.7,-15.9333,"Saint Helena"
"SLB",459,235,224,159,-8,"Solomon Islands"
"SLE",739,487,252,-11.5,8.5,"Sierra Leone"
"SLV",519,279,240,-88.9167,13.8333,"El Salvador"
"SMR",81,56,25,12.4167,43.7667,"San Marino"
"SOM",7257,4475,2782,49,10,"Somalia"
"SPM",1,0,1,-56.3333,46.8333,"Saint Pierre and Miquelon"
"SRB",2946,1620,1326,21,44,"Serbia"
"SSD",972,639,333,30,8,"South Sudan"
"STP",48,31,17,7,1,"Sao Tome and Principe"
"SUR",616,366,250,-56,4,"Suriname"
"SVK",14033,7696,6337,19.5,48.6667,"Slovakia"
"SVN",5490,3019,2471,15,46,"Slovenia"
"SWE",53494,31335,22159,15,62,"Sweden"
"SWZ",567,266,301,31.5,-26.5,"Eswatini"
"SYC",2595,1074,1521,55.6667,-4.5833,"Seychelles"
"SYR",20529,13097,7432,38,35,"Syria"
"TCA",3,0,3,-71.5833,21.75,"Turks and Caicos Islands"
"TCD",770,607,163,19,15,"Chad"
"TGO",262,208,54,1.1667,8,"Togo"
"THA",5647418,3285770,2361648,100,15,"Thailand"
"TJK",3545,2474,1071,71,39,"Tajikistan"
"TKL",2,2,0,-172,-9,"Tokelau"
"TKM",5375,2974,2401,60,40,"Turkmenistan"
"TLS",6745,3957,2788,125.5167,-8.55,"Timor-Leste"
"TON",424,206,218,-175,-20,"Tonga"
"TTO",1158,668,490,-61,11,"Trinidad and Tobago"
"TUN",18392,9460,8932,9,34,"Tunisia"
"TUR",50414,34652,15762,35,39,"Turkey"
"TUV",14,7,7,178,-8,"Tuvalu"
"TWN",639102,301859,337243,121,23.5,"Taiwan"
"TZA",5973,3087,2886,35,-6,"Tanzania"
"UGA",4255,1949,2306,32,1,"Uganda"
"UKR",36714,18595,18119,32,49,"Ukraine"
"URY",2769,1284,1485,-56,-33,"Uruguay"
"USA",607643,355539,252104,-97,38,"United States"
"UZB",36853,22413,14440,64,41,"Uzbekistan"
"VAT",34,32,2,12.45,41.9,"Vatican City"
"VCT",75,47,28,-183.6,39.75,"Saint Vincent and the Grenadines"
"VEN",2871,1608,1263,-132,16,"Venezuela"
"VNM",878361,288305,590056,212,32,"Vietnam"
"VUT",2970,2394,576,167,-16,"Vanuatu"
"WSM",113,52,61,-172.3333,-13.5833,"Samoa"
"XXX",14334,8591,5743,NA,NA,"Other/Unknown"
"YEM",43725,30377,13348,48,15,"Yemen"
"ZAF",45266,25596,19670,24,-29,"South Africa"
"ZAR",23,11,12,15.266293,-4.441931,"Zaire"
"ZMB",2169,1152,1017,30,-15,"Zambia"
"ZWE",4687,2233,2454,30,-20,"Zimbabwe"
